long,long,float,float,float,float,float,long,long,long,long,long,long,None,long
1,0,0,0,0,0,0,12,13,10,13,4,0,,0
2,0,612096,0,998400,19200,25861,14,15,494,15,4,0,,0
3,0,714810,0,987301,13924,19298,16,15,496,15,4,0,,0
4,0,557760,0,966720,23040,28800,17,18,497,18,4,0,,0
5,0,685440,-177,989760,11167,16362,19,20,463,20,4,0,,0
6,0,725045,0,1021195,13922,20298,21,22,454,22,4,0,,0
7,0,653065,0,897438,23773,29291,23,24,456,24,4,0,,0
8,0,561600,0,1002240,25920,31680,17,25,497,25,4,0,,0
9,0,614400,0,1094400,63744,72192,26,27,409,27,4,0,,0
10,0,710400,9216,864000,12603,20050,28,24,493,24,4,0,,0
11,0,644315,0,728689,14966,35446,29,13,499,13,4,0,,0
12,0,724087,0,667736,13785,46868,30,31,10,31,4,0,,0
13,0,648745,-389,618216,18900,54857,32,33,10,33,4,0,,0
14,0,759016.75,818.08544921875,987938.5625,26782,30720,16,15,496,15,4,0,,0
15,0,652489.5625,902.094787597656,999862,24000,31658,14,15,494,15,4,0,,0
16,0,666312.375,15687.8916015625,800207.6875,35975.20703125,43712.828125,34,35,406,35,2,0,,0
17,0,687233,2345,1011162,11068,14613,19,20,463,20,4,0,,0
18,0,664320,0,982080,6720,7680,14,15,494,15,4,0,,0
19,0,702610,0,1047894,14178,19057,36,37,36,37,4,0,,0
20,0,706944,0,901632,25344,29952,23,24,456,24,4,0,,0
21,0,748800,0,856704,24882,29952,28,24,493,24,4,0,,0
22,0,613629,8480,804810,26524,31670,34,35,406,35,2,0,,0
23,0,597504,6912,841728,19200,20736,34,35,406,35,2,0,,0
24,0,622848,5376,823296,20736,24576,34,35,406,35,2,0,,0
25,0,716234.125,5376,822528,10580,23040,38,39,470,39,4,0,,0
26,0,737280,0,807168,24576,39168,38,39,470,39,4,0,,0
27,0,612864,0,516864,35446,51722,40,39,407,39,4,0,,0
28,0,564790,0,604416,28996,65437,41,42,472,42,4,0,,0
29,0,561408,0,537600,18808,30171,40,43,407,43,4,0,,0
30,0,721019,0,547667,14890,22843,44,45,457,45,4,0,,0
31,0,671928,0,553804,29170,38597,46,45,473,45,4,0,,0
32,0,673462,0,510849,9846,21662,47,45,473,45,4,0,,0
33,0,704256,0,527616,12209,16542,48,45,457,45,4,0,,0
34,0,680017,767,579840,2035,3331,49,45,473,45,4,0,,0
35,0,707752,0,575461,11815,22449,50,45,473,45,4,0,,0
36,0,708480,0,610560,18024,31347,51,45,10,45,4,0,,0
37,0,753792,0,604800,23902,40359,51,52,10,52,4,0,,0
38,0,758650,0,584634,8612,11755,53,24,10,24,4,0,,0
39,0,596846,0,1131107,5486,8229,26,27,409,27,4,0,,0
40,0,601065,1663,986093,1279,2743,54,27,494,27,4,0,,0
41,0,630428,0,990672,4702,9012,55,27,469,27,4,0,,0
42,0,769336,0,520883,46080,59513,56,37,444,37,4,0,,0
43,0,749492,5148,525102,6962,10136,57,37,457,37,4,0,,0
44,0,631954,0,593793,9404,17241,427,45,422,45,2,0,,0
45,0,659431,0,688803,4310,24294,30,45,10,45,4,0,,0
46,0,747098,5369,504893,8271,14572,59,33,457,33,4,0,,0
47,0,811530,3835,516986,6564,11028,57,31,457,31,4,0,,0
48,0,737786,5369,475746,15360,20086,60,45,60,45,4,0,,0
49,0,731145,4123,475480,2253,5908,61,45,61,45,4,0,,0
50,0,674996,2027,912325,9058,12209,23,45,456,45,4,0,,0
51,0,594662,2913,919693,2363,3043,62,24,10,24,4,0,,0
52,0,592048,2553,916999,2255,3227,62,24,10,24,4,0,,0
53,0,645849,2301,529258,9452,14572,40,24,407,24,4,0,,0
54,0,115200,0,1094400,90585,95311,12,63,10,63,4,0,,0
55,0,598018,-1969,665698,9641,12497,64,13,10,13,4,0,,0
56,0,594410,6025,662270,3151,5120,65,66,10,66,4,0,,0
57,0,671928,0,1044710,11028,21662,67,66,10,66,4,0,,0
58,0,711814,0,734825,15360,48837,29,37,499,37,4,0,,0
59,0,171183,-7285,1114234,5908,8341,68,27,10,27,4,0,,0
60,0,162901,-8437,1115278,5393,8345,69,13,10,13,4,0,,0
61,0,670740,6341,614555,3771,5554,70,71,10,71,4,0,,0
62,0,724065,0,504713,9601,15360,59,13,457,13,4,0,,0
63,0,757837,6903,628974,7877,10634,72,52,10,52,4,0,,0
64,0,710172,0,1009426,5762,9058,21,45,454,45,4,0,,0
65,0,737462,1703,1009584,4436,8271,21,45,454,45,4,0,,0
66,0,722481,997,1003218,3151,7483,21,22,454,22,4,0,,0
67,0,728977,-241,1041188,6302,11422,21,22,454,22,4,0,,0
68,0,730223,0,977210,5514,8665,16,22,496,22,4,0,,0
69,0,716560,5441,1018703,1575,2757,74,15,74,15,4,0,,0
70,0,1180800,0,1180800,23237,33871,75,15,10,15,4,0,,0
71,0,698894,4051,994085,2253,3581,76,22,465,22,4,0,,0
72,0,673570,7565,858452,13785,20376,77,78,471,78,4,0,,0
73,0,644315,8437,857552,12209,18221,77,24,471,24,4,0,,0
74,0,685555,12694,877531,1611,3545,77,24,471,24,4,0,,0
75,0,690783,10071,842809,2757,4726,77,24,471,24,4,0,,0
76,0,650451,14574,874427,7089,11028,77,24,471,24,4,0,,0
77,0,593586,0,931236,15043,17814,79,24,578,24,3,0,,0
78,0,679959,4281,888284,8665,12209,23,13,456,13,4,0,,0
79,0,764679,4231,493268,4472,5372,80,24,10,24,3,0,,0
80,0,790075,3705,491014,8665,9846,81,13,10,13,4,0,,0
81,0,747840,3079,561222,4502,7706,82,37,444,37,4,0,,0
82,509,0,0,0,0,0,394,391,8,11,3,0,,0
83,469,0,0,0,0,0,85,86,10,11,5,0,,0
84,269,0,0,0,0,0,87,88,10,11,4,0,,0
85,269,358975,0,681600,19200,28800,89,90,89,90,4,0,,0
86,269,586091,-1609,533861,15830,52775,91,92,91,92,4,0,,0
87,269,598292,0,500111,14572,16542,93,94,10,11,4,0,,0
88,269,573113,1163,507341,13238,14966,93,94,10,11,4,0,,0
89,269,555446,0,514004,12031,13854,93,94,10,11,4,0,,0
90,269,538441,0,528000,11445,13785,93,94,10,11,4,0,,0
91,269,544563,0,550340,11059,13467,93,94,10,11,4,0,,0
92,269,571529,0,569001,19298,21662,93,94,10,11,4,0,,0
93,269,607785,0,573149,17723,20086,93,94,10,11,4,0,,0
94,269,624529,0,552270,13461,15754,93,94,10,11,4,0,,0
95,269,627440,0,524656,14966,17329,93,94,10,11,4,0,,0
96,269,613633,0,513918,14178,16935,93,95,10,11,4,0,,0
97,36,0,0,0,0,0,96,97,10,11,4,0,,0
98,36,557760,0,966720,23040,28800,98,99,10,11,4,0,,0
99,36,633600,0,623232,50688,64512,100,101,10,11,4,0,,0
179,429,0,0,0,0,0,175,176,10,11,4,0,,0
180,429,643357,0,980805,6765,7701,177,178,10,11,4,0,,0
181,429,-21633,0,-27989,10151,13391,179,180,10,11,3,0,,0
182,429,-9005,0,-13879,6302,6302,181,176,10,11,4,0,,0
183,429,253,0,-14012,4940,6515,181,176,10,11,4,0,,0
184,429,-12799,0,-539,7123,8415,182,183,10,11,4,0,,0
185,429,-28709,0,1289,7343,7735,184,183,10,11,4,0,,0
186,429,16378,-1897,-10841,6191,6740,185,186,10,11,4,0,,0
187,169,610565,0,501645,25994,39778,187,188,10,11,4,0,,0
188,169,681133,-3835,699542,31902,41354,189,188,10,11,4,0,,0
189,169,547200,0,566400,55138,72074,190,188,10,11,4,0,,0
190,169,499200,0,748800,40960,51594,191,188,10,11,4,0,,0
191,1,0,0,0,0,0,192,193,10,193,3,0,,0
192,1,629766,9971,524656,17723,29538,194,195,492,195,4,0,,0
193,1,701018,0,610025,21268,46334,196,197,477,197,3,0,,0
194,1,558384,875,673030,25994,32435,198,199,478,199,3,0,,0
195,1,773178,0,923518,63015,72468,200,201,420,201,2,0,,0
196,1,725621,9972,329828,33477,44505,202,203,482,203,4,0,,0
197,1,579883,0,428009,42535,54351,204,193,426,193,4,0,,0
198,1,751680,-5760,744960,40566,54720,205,206,495,206,4,0,,0
199,1,609989,-5851,350829,27175,44111,204,207,426,207,4,0,,0
200,1,567744,18816,244416,56448,75264,208,209,453,209,4,0,,0
201,1,627456,0,658176,24812,40704,210,201,449,201,3,0,,0
202,1,636672,1536,712704,26015,38400,210,211,449,211,3,0,,0
203,1,803859,0,633576,40172,63015,212,201,451,201,4,0,,0
204,1,788880,0,572119,36833,55680,212,213,451,11,4,0,,0
205,1,736684,0,663948,16148,31508,214,215,477,215,3,0,,0
206,1,694939,0,688803,20874,34186,214,215,477,215,3,0,,0
207,1,683229,2301,736360,12025,20874,214,195,477,195,3,0,,0
208,1,666620,-2985,532327,23631,40960,194,195,492,195,4,0,,0
209,1,705678,0,526190,33083,50018,194,216,492,216,4,0,,0
210,1,741992,0,489372,11379,26782,194,216,492,216,4,0,,0
211,1,654765,0,780726,16542,22127,217,216,484,216,3,0,,0
212,1,671820,0,794547,16296,17329,217,203,484,203,3,0,,0
213,1,725621,0,814598,9846,18117,217,203,484,203,3,0,,0
214,1,655053,6903,460225,17329,34265,218,203,480,203,4,0,,0
215,1,636644,12334,421873,13391,22843,218,219,480,219,4,0,,0
216,1,668860,11096,391191,25994,34265,218,219,480,219,4,0,,0
217,1,610565,0,783916,21662,37415,220,221,425,221,4,0,,0
218,1,731965,767,551348,8273,13001,222,223,222,223,4,0,,0
219,1,525722,42187,255638,13215,17365,224,225,453,225,3,0,,0
220,1,656573,0,724087,8665,12997,226,223,450,223,3,0,,0
221,1,727155,0,576815,5120,9099,227,228,10,228,3,0,,0
222,1,573775,0,799257,23298,33871,220,221,425,221,4,0,,0
223,1,693405,7789,602930,4726,8300,229,219,10,219,3,0,,0
224,1,635794,0,617025,10634,23063,230,207,483,207,4,0,,0
225,1,619445,0,573711,18905,25600,232,213,483,213,4,0,,0
226,1,556872,0,584485,11815,23631,232,233,483,233,4,0,,0
227,1,581403,-169,555410,15754,21662,234,235,483,235,4,0,,0
228,1,567754,0,521588,17219,23914,236,237,483,237,4,0,,0
229,1,550736,0,485138,18551,36628,238,193,492,193,4,0,,0
230,1,754769,0,837609,14966,31902,239,240,485,240,2,0,,0
231,1,707882,0,746054,5408,10240,205,207,495,207,4,0,,0
232,1,633346,11124,439468,3722,5258,241,242,480,242,4,0,,0
233,1,628974,13954,440916,2939,4726,243,203,480,203,4,0,,0
234,1,665792,2301,711814,3938,5514,210,244,449,244,3,0,,0
235,1,719031,6903,558406,5730,6482,222,223,222,223,4,0,,0
236,1,686801,767,802073,14178,18013,217,211,484,211,3,0,,0
237,1,707212,0,811530,16874,19161,217,245,484,245,3,0,,0
238,1,857948,0,486556,53957,70105,246,207,458,207,4,0,,0
239,1,770109,0,545867,16542,18117,247,215,452,215,4,0,,0
240,1,512860,0,793121,27963,39385,248,207,425,207,4,0,,0
241,1,535395,-9972,730223,24812,31508,249,219,425,219,4,0,,0
242,1,808461,0,851416,19404,28751,200,219,420,219,2,0,,0
243,1,724087,0,879029,14178,21268,200,250,420,250,2,0,,0
244,1,712664,0,846669,16935,20874,200,251,420,251,2,0,,0
245,1,708746,0,932722,14966,25600,200,201,420,201,2,0,,0
246,1,564542,0,635110,20480,38597,198,199,478,199,3,0,,0
247,1,790052,0,505131,33659,41000,246,207,458,207,4,0,,0
248,1,661982,-2301,878727,35446,45195,252,207,411,207,4,0,,0
249,1,578047,0,874427,34265,46055,253,207,408,207,3,0,,0
250,1,489372,0,836075,32295,48049,254,207,425,207,4,0,,0
251,1,780848,0,908177,7483,11422,255,206,420,206,4,0,,0
252,1,724483,0,920953,1287,2719,200,250,420,250,2,0,,0
253,1,777326,0,752636,10634,16794,256,257,495,257,4,0,,0
254,1,604500,4375,533357,6119,9092,258,259,492,259,4,0,,0
255,1,664114,-9972,857494,16148,28357,419,251,417,251,4,0,,0
256,1,687233,-9972,889206,8878,17255,252,207,411,207,4,0,,0
257,1,648831,-9972,892836,9158,16542,252,207,411,207,4,0,,0
258,1,555937.5,1769.13366699219,919140.125,11981.43359375,29501.494140625,253,261,408,261,3,0,,0
259,1,763973,17642,354373,44505,49625,262,263,424,263,2,0,,0
260,1,728689,20710,385091,25600,33871,262,264,424,264,2,0,,0
261,1,786984,26212,407814,22449,27569,262,257,424,257,2,0,,0
262,1,703964,36051,453108,11890,14966,265,257,481,257,4,0,,0
263,1,678447,45255,430465,7015,8667,265,259,481,259,4,0,,0
264,1,762439,19176,331362,16148,20874,262,266,424,266,2,0,,0
265,1,720011,53300,417918,13391,16542,267,219,481,219,4,0,,0
266,1,708976,51392,415700,6302,9058,267,219,481,219,4,0,,0
267,1,495509,0,750166,11815,15360,248,207,425,207,4,0,,0
268,1,546947,0,754921,9601,14572,249,219,425,219,4,0,,0
269,1,596758,-3835,277669,28357,43717,268,213,453,213,4,0,,0
270,1,775000,31449,447484,11858,16866,269,213,269,213,2,0,,0
271,1,27613,-14574,29148,22449,31114,270,213,10,11,4,0,,0
272,1,765175,36051,457854,10634,12965,269,271,269,271,2,0,,0
273,1,684201,2301,613345,4301,6695,272,271,10,271,3,0,,0
274,1,719701,2099,659007,4332,8665,272,213,10,213,3,0,,0
275,1,690243,2661,652223,4262,8059,272,271,10,271,3,0,,0
276,1,690337,767,776246,6302,8665,273,274,10,274,3,0,,0
277,1,703690,2063,784550,6302,9236,275,263,10,263,3,0,,0
278,1,622801,0,845495,7089,11028,253,207,408,207,3,0,,0
279,1,639568,-6903,845481,5908,11028,252,207,411,207,4,0,,0
280,1,681169,0,761993,16148,22843,214,271,477,271,3,0,,0
281,1,694499,2589,783916,1681,2755,275,271,10,271,3,0,,0
282,1,688875,-10102,864754,4589,7089,252,276,411,276,4,0,,0
283,1,678208,-10116,867953,5656,8271,252,259,411,259,4,0,,0
284,1,667362,-10152,861002,4510,6371,252,257,411,257,4,0,,0
285,1,660542,-9864,863976,644,2039,252,216,411,216,4,0,,0
286,1,653663,-10498,866397,4618,6302,252,277,411,277,4,0,,0
287,1,651733,-10332,856184,3938,5514,252,257,411,257,4,0,,0
288,1,646209,-10376,852950,2573,4294,252,257,411,257,4,0,,0
289,1,662472,-5369,323691,13391,31508,204,257,426,257,4,0,,0
290,1,641246,11506,400396,7089,12603,218,257,480,257,4,0,,0
291,1,632042,9972,452554,4332,12603,218,257,480,257,4,0,,0
292,1,569253,6557,607497,3725,6749,278,257,10,257,3,0,,0
293,1,587878,2877,619589,4332,7585,279,257,10,257,3,0,,0
294,1,649047,6449,510237,3441,6695,280,201,492,201,4,0,,0
295,1,624372,2301,539601,5908,10240,281,282,492,282,4,0,,0
296,1,733593,3835,526824,9315,11959,283,282,492,282,4,0,,0
297,1,547667,2805,607497,4726,10634,284,285,478,285,3,0,,0
298,1,526154,3835,693873,7123,12815,284,223,478,223,3,0,,0
299,1,632042,2301,497043,6626,12209,286,219,492,219,4,0,,0
300,1,617803,0,480168,9099,16224,287,219,492,219,4,0,,0
301,1,597334,0,497201,10240,17750,287,203,492,203,4,0,,0
302,1,789931,36051,443350,5120,7089,269,206,269,206,2,0,,0
303,1,789728,29015,408880,1110,3041,288,206,424,206,2,0,,0
304,1,794201,30801,412668,3545,5514,288,206,424,206,2,0,,0
305,1,590802,4901,683927,5658,7017,289,193,10,193,3,0,,0
306,1,517994,2279,660015,10634,15324,290,193,478,193,3,0,,0
307,1,546133,1451,682869,5514,9452,291,203,10,203,3,0,,0
308,1,551622,241,833209,10634,13391,292,293,408,293,4,0,,0
309,1,518520,-349,612099,7877,12603,294,271,478,271,3,0,,0
310,1,593344,3727,597046,4610,6335,230,207,483,207,4,0,,0
311,1,579955,2949,579343,5192,8097,230,207,483,207,4,0,,0
312,1,731469,4339,508703,5410,6382,295,206,492,206,4,0,,0
313,1,595404,1811,520616,5620,9454,295,293,492,292,4,0,,0
314,1,600978,-1091,850840,19303,19303,253,261,408,261,3,0,,0
315,1,556260,407,857444,2399,3151,296,207,408,207,3,0,,0
316,1,572465,0,866050,2075,2757,296,207,408,207,3,0,,0
317,1,545355,-133,900592,4510,5514,296,207,408,207,3,0,,0
318,44,0,0,0,0,0,297,298,10,11,4,0,,0
319,189,0,0,0,0,0,299,300,10,11,4,0,,0
320,249,0,0,0,0,0,301,302,10,11,4,0,,0
321,30,0,0,0,0,0,303,304,10,304,2,0,,0
322,37,610565,0,501645,25994,39778,305,306,10,11,4,0,,0
323,489,610565,0,501645,25994,39778,307,308,10,11,4,0,,0
324,489,561214,9634,562009,7661,10382,307,308,10,11,4,0,,0
325,489,561826,11254,580871,7733,10634,309,310,10,11,3,0,,0
326,529,0,0,0,0,0,311,312,10,11,4,0,,0
327,529,580378,0,580378,28357,38400,313,314,10,11,4,0,,0
328,129,610565,0,501645,25994,39778,315,316,10,11,4,0,,0
329,129,576000,0,537600,38400,57600,317,316,10,11,4,0,,0
330,47,0,0,0,0,0,318,319,10,11,4,0,,0
331,47,557760,0,966720,23040,28800,318,319,10,11,4,0,,0
332,47,633600,0,623232,50688,64512,318,319,10,11,4,0,,0
333,289,0,0,0,0,0,320,321,10,11,4,0,,0
334,289,358975,0,681600,19200,28800,322,323,10,11,4,0,,0
335,289,610565,-1609,610565,38597,38597,324,325,10,11,4,0,,0
336,33,753792,0,604800,23902,40359,326,327,10,11,4,0,,0
337,33,543065,0,616701,44898,48000,328,329,10,11,4,0,,0
338,35,0,0,0,0,0,330,331,10,11,4,0,,0
339,35,557760,0,966720,23040,28800,332,333,10,11,4,0,,0
340,35,633600,0,623232,50688,64512,334,335,10,11,4,0,,0
341,329,0,0,0,0,0,336,337,10,11,4,0,,0
342,329,358975,0,681600,19200,28800,338,339,10,11,4,0,,0
343,329,682667,-1609,1044710,59077,87040,340,341,10,11,4,0,,0
344,209,610565,0,501645,25994,39778,342,343,10,11,4,0,,0
345,209,575281,0,550736,19200,27569,344,345,10,11,4,0,,0
346,13,0,0,0,0,0,346,347,10,11,4,0,,0
347,13,614016,0,999168,18432,20736,348,349,10,11,4,0,,0
348,13,715968,0,985344,17280,20160,350,349,10,11,4,0,,0
349,13,736320,0,806400,25920,28800,351,349,10,11,4,0,,0
350,13,566400,0,976320,16320,19680,352,349,10,11,4,0,,0
351,13,683904,5760,991104,10752,13056,353,349,10,11,4,0,,0
352,13,722304,0,1031808,17280,21888,354,349,10,11,4,0,,0
353,13,670080,768,564480,15744,17664,355,349,10,11,4,0,,0
354,13,652800,0,879744,36864,40320,356,349,10,11,4,0,,0
355,13,571584,0,998400,18432,21888,357,349,10,11,4,0,,0
356,13,614400,0,1094400,63744,72192,358,349,10,11,4,0,,0
357,13,652800,0,998400,17664,21504,359,349,10,11,4,0,,0
358,13,633600,0,998400,18432,22272,359,349,10,11,4,0,,0
359,13,676800,19008,816000,19008,24768,360,349,10,11,4,0,,0
360,13,710400,9216,864000,21120,24576,361,349,10,11,4,0,,0
361,13,683520,0,751872,23040,61440,362,349,10,11,4,0,,0
362,13,710400,0,691200,19968,23040,363,349,10,11,4,0,,0
363,13,633600,0,633600,17664,19200,364,349,10,11,4,0,,0
364,13,569856,3456,622848,14592,18432,365,349,10,11,4,0,,0
365,309,0,0,0,0,0,366,367,10,11,4,0,,0
366,309,358975,0,681600,19200,28800,368,369,10,11,4,0,,0
367,309,682667,-1609,1044710,59077,87040,370,371,10,11,4,0,,0
368,309,660910,1847,1030041,4546,5586,372,371,10,11,4,0,,0
369,309,673915,479,1038939,3655,4978,373,371,10,11,4,0,,0
370,309,668872,1343,1038158,1398,2615,373,371,10,11,4,0,,0
371,309,681996,2373,1042517,1863,2365,374,375,10,11,4,0,,0
372,309,681564,1941,1044738,1326,1897,374,376,10,11,4,0,,0
374,530,0,0,0,0,0,379,380,503,380,2,0,,0
377,530,471893.15625,1043.82177734375,622067.75,42304.203125,46230.8984375,384,385,384,11,4,0,,0
378,530,885908.9375,5039.94873046875,331733.5,11413.2880859375,15770.162109375,399,383,399,383,4,0,,0
379,532,0,0,0,0,0,386,387,10,11,4,0,,0
415,531,0,0,0,479.604156494141,837.261962890625,394,392,394,392,3,0,,0
418,530,293487,-326.2685546875,706311.25,65647.0390625,76035.09375,396,491,396,491,3,0,,0
439,530,836808.4375,986.557495117188,321875.0625,4648.1337890625,9623.3212890625,399,383,399,383,3,0,,0
443,530,844870.9375,1345.17529296875,394838.53125,67991.8671875,73033.8828125,399,383,399,383,4,0,,0
450,530,840546.25,2663.92846679688,386273.28125,15266.3330078125,18638.26953125,433,9,407,11,3,0,,0
451,530,436394.6875,-3753.11645507813,735553.1875,21360.484375,27643.5234375,500,9,500,11,3,0,,0
453,530,1005894.875,1812.1884765625,682951.0625,6444.525390625,10743.3515625,488,505,488,505,3,0,,0
454,530,1070309.125,459.0087890625,798701.5,75390.40625,89410.578125,460,439,502,439,3,0,,0
455,530,383337.625,94.2490768432617,510160.9375,57491.6796875,71907.640625,438,9,438,11,3,0,,0
458,530,425478.65625,-1658.09851074219,680243.875,26052.6171875,31068.568359375,435,441,435,441,3,0,,0
460,530,382782.4375,823.062622070313,607303.125,25236.37109375,30991.41796875,432,506,432,506,3,0,,0
462,530,341520.78125,1498.88598632813,601310.5,27441.0546875,32466.373046875,432,506,432,506,3,0,,0
465,530,844677.875,2820.701171875,317673.46875,4027.412109375,7894.37255859375,399,383,399,383,3,0,,0
466,530,860997.375,2519.65502929688,334125.8125,8393.2568359375,14778.421875,399,383,399,383,4,0,,0
467,530,856108.6875,36.9607696533203,265578.03125,10322.4326171875,13306.521484375,442,380,442,380,3,0,,0
468,530,487940.03125,2158.5224609375,608494.75,4902.1142578125,6667.0458984375,446,518,446,518,3,0,,0
469,530,490302.1875,2254.59765625,599578.625,5471.6044921875,7923.32080078125,446,518,446,518,3,0,,0
470,530,861560.875,583.938354492188,272467.59375,6400.01953125,8946.703125,442,380,442,380,3,0,,0
471,530,861455.75,579.879638671875,255719.703125,5059.7021484375,6946.4521484375,442,380,442,380,3,0,,0
472,530,900592.3125,5967.650390625,367471.5,15745.0068359375,25241.220703125,448,383,448,383,3,0,,0
474,530,849266,3509.3427734375,386174.09375,6610.6923828125,6610.6923828125,433,9,407,11,3,0,,0
493,543,0,0,0,45.2677154541016,95.8054428100586,384,385,384,11,3,0,,0
496,530,1032329.375,418.64013671875,664830.1875,47304.96484375,59722.97265625,487,505,488,486,3,0,,0
498,530,1046923.8125,986.317077636719,700536.125,6813.4833984375,9884.9208984375,436,505,488,486,3,0,,0
